pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Diseases of metabolism	R-HSA-5668914	 Reactome	 hsapiens	394	724	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5668914	147.0
Metabolism of vitamins and cofactors	R-HSA-196854	 Reactome	 hsapiens	375	3139	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-196854	179.0
DNA Repair	R-HSA-73894	 Reactome	 hsapiens	362	11215	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73894	322.0
MAPK family signaling cascades	R-HSA-5683057	 Reactome	 hsapiens	351	5894	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5683057	323.0
Intracellular signaling by second messengers	R-HSA-9006925	 Reactome	 hsapiens	333	4762	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9006925	309.0
Translation	R-HSA-72766	 Reactome	 hsapiens	329	16833	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-72766	288.0
Signaling by WNT	R-HSA-195721	 Reactome	 hsapiens	323	6525	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-195721	327.0
Signaling by Nuclear Receptors	R-HSA-9006931	 Reactome	 hsapiens	320	3819	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9006931	294.0
Transmission across Chemical Synapses	R-HSA-112315	 Reactome	 hsapiens	319	5680	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112315	247.0
Phospholipid metabolism	R-HSA-1483257	 Reactome	 hsapiens	315	3961	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483257	186.0
Antigen processing: Ubiquitination & Proteasome degradation	R-HSA-983168	 Reactome	 hsapiens	315	22519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-983168	304.0
Extracellular matrix organization	R-HSA-1474244	 Reactome	 hsapiens	312	3696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474244	275.0
ERK1/ERK2 pathway	R-HSA-5684996	 Reactome	 hsapiens	312	5462	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5684996	284.0
RAF/MAP kinase cascade	R-HSA-5673001	 Reactome	 hsapiens	306	5406	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5673001	278.0
RHO GTPase Effectors	R-HSA-195258	 Reactome	 hsapiens	302	8245	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-195258	310.0
Metabolism of steroids	R-HSA-8957322	 Reactome	 hsapiens	301	3396	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8957322	138.0
Organelle biogenesis and maintenance	R-HSA-1852241	 Reactome	 hsapiens	301	6923	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1852241	283.0
Phase I - Functionalization of compounds	R-HSA-211945	 Reactome	 hsapiens	297	4155	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-211945	100.0
Anti-inflammatory response favouring Leishmania parasite infection	R-HSA-9662851	 Reactome	 hsapiens	294	9592	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9662851	166.0
Interferon Signaling	R-HSA-913531	 Reactome	 hsapiens	291	2554	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-913531	199.0
Deubiquitination	R-HSA-5688426	 Reactome	 hsapiens	288	3140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5688426	295.0
PI3K/AKT Signaling	R-HSA-1257604	 Reactome	 hsapiens	286	4256	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1257604	267.0
G alpha (q) signalling events	R-HSA-416476	 Reactome	 hsapiens	282	5786	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-416476	192.0
Cell Cycle Checkpoints	R-HSA-69620	 Reactome	 hsapiens	278	7827	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69620	294.0
Disorders of transmembrane transporters	R-HSA-5619115	 Reactome	 hsapiens	269	2263	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5619115	115.0
Phase II - Conjugation of compounds	R-HSA-156580	 Reactome	 hsapiens	258	1545	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156580	101.0
