pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""Interleukin-6 signaling"" pathway"	R-HSA-1059683	 Reactome	 hsapiens	 13	 128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1059683
"""Apoptosis"" pathway"	R-HSA-109581	 Reactome	 hsapiens	 187	 1669	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109581
"""Hemostasis"" pathway"	R-HSA-109582	 Reactome	 hsapiens	 654	 5475	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109582
"""Intrinsic Pathway for Apoptosis"" pathway"	R-HSA-109606	 Reactome	 hsapiens	 60	 214	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109606
"""PKB-mediated events"" pathway"	R-HSA-109703	 Reactome	 hsapiens	 8	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109703
"""PI3K Cascade"" pathway"	R-HSA-109704	 Reactome	 hsapiens	 52	 505	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-109704
"""MAPK3 (ERK1) activation"" pathway"	R-HSA-110056	 Reactome	 hsapiens	 12	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110056
"""Translesion synthesis by REV1"" pathway"	R-HSA-110312	 Reactome	 hsapiens	 19	 208	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110312
"""Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template"" pathway"	R-HSA-110313	 Reactome	 hsapiens	 48	 865	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110313
"""Recognition of DNA damage by PCNA-containing replication complex"" pathway"	R-HSA-110314	 Reactome	 hsapiens	 30	 408	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110314
"""Translesion Synthesis by POLH"" pathway"	R-HSA-110320	 Reactome	 hsapiens	 24	 332	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110320
"""Recognition and association of DNA glycosylase with site containing an affected pyrimidine"" pathway"	R-HSA-110328	 Reactome	 hsapiens	 34	 415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110328
"""Cleavage of the damaged pyrimidine"" pathway"	R-HSA-110329	 Reactome	 hsapiens	 51	 519	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110329
"""Recognition and association of DNA glycosylase with site containing an affected purine"" pathway"	R-HSA-110330	 Reactome	 hsapiens	 34	 415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110330
"""Cleavage of the damaged purine"" pathway"	R-HSA-110331	 Reactome	 hsapiens	 44	 561	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110331
